,work_ids,work_titles,authors,fandoms,iscrossover,ratings,warnings,genres,completions,dates,pairings,characters,freeforms,summaries,languages,wordcounts,chaptercounts,commentcounts,kudoscounts,bookmarks,hitcounts
0,549583,Father's Son,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,No category,Complete Work,2012/10/30,"Lily Evans/James Potter, Lily Evans & Severus Snape","Harry Potter, James Potter, Severus Snape, Lily Evans",, Harry Potter is just like his father...right? ,English,165,1/1,1,23,2,897
1,549579,Alphabetical Adjectives,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,2012/10/30,,,, Just what the title says. A-Z adjectives and the people that they fit. ,English,349,1/1,0,4,0,245
2,10097129,Of the Heath and Hay,HPFandom_archivist,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/10/30,Lucius Malfoy/Harry Potter,"Harry Potter, Lucius Malfoy","Explicit Language, BDSM, Slash sex, Out of Character, Sexual Content, Plot What Plot/Porn Without Plot"," Lucius/Harry. Post-Deathly Hallows. Dubious consent, slash, m/mMany Thanks to my Beta, Amanuensis. There is more written (some beta-ed already) which actually contains a plot involving Lucius and Harry (not ready to post it as of now). ",English,"2,172",1/1,0,40,5,"1,713"
3,549462,First Christmas,angelbabe_cj,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,2012/10/29,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter",, Everyone knows what a stocking means at Christmas. Right? ,English,145,1/1,0,10,0,484
4,549445,Lead Me Home,Muir_Wolf,"Bones (TV), Harry Potter - J. K. Rowling",1,General Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/10/29,"Luna Lovegood/Vincent Nigel-Murray, Jack Hodgins/Angela Montenegro","Angela Montenegro, Luna Lovegood, Vincent Nigel-Murray, Jack Hodgins","Crossover, Crossover Pairings"," Sometimes, Angela sketches the three of them. ",English,565,1/1,2,59,3,"1,295"
5,549420,Has there ever been a girl so lucky?,orphan_account,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,F/F,Complete Work,2012/10/29,Pansy Parkinson/Rose Weasley,"Pansy Parkinson, Rose Weasley","Stockholm Syndrome, Alternate Universe - Voldemort Wins"," She cares for her mistress, just as her mistress cares for her. ",English,"2,026",1/1,2,71,6,"2,296"
6,549418,War Memorial,crossingwinter,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,Gen,Complete Work,2012/10/29,,"Petunia Evans, Bathilda Bagshot, Lily Evans, Harry Potter","Grief/Mourning, Hurt/Comfort"," “It’s a transfigured muggle war memorial in the graveyard. It changes into them when we see it.”It was that, more than anything, that made her cry. ",English,570,1/1,12,85,10,"1,405"
7,549406,"Sherlock Holmes, Ravenclaw",Dragomira,"Harry Potter - Fandom, Sherlock (TV)",1,General Audiences,No Archive Warnings Apply,"Gen, M/M",Work in Progress,2012/10/29,Sherlock Holmes/John Watson,"Sherlock Holmes, Mycroft Holmes, John Watson, Poppy Pomfrey","Fluff, Hogwarts, Alternate Universe, Alternate Universe - Hogwarts, Hogwarts Era"," When Sherlock was sorted into Ravenclaw, the quiet response didn't carry the pride it had for his Slytherin brother. ",English,"2,047",1/?,10,149,15,"2,142"
8,549388,Red and Green,LABrats,Harry Potter - J. K. Rowling,0,General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,2012/10/29,"Lily Evans/James Potter, Harry Potter/Ginny Weasley","Harry Potter, Ginny Weasley, Lily Evans, James Potter, Voldemort",Warning- Can Be Confusing," Green and RedA poem about Green and Red that was a little outside the box for Crow, but he's working on it. He doesn't like it much, but some do, so it's getting posted. This is the relationship of Red and Green, Green and Red. ",English,153,1/1,0,5,0,251
9,549355,The Puffskein Plan,iulia_linnea,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,2012/10/29,Harry Potter/Severus Snape,"Severus Snape, Harry Potter, Canon Character(s), Original Characters, Draco Malfoy",, Severus brews up trouble by employing puffskeins. ,English,"1,711",1/1,2,38,4,900
